,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
0,2016-17,2 SISTERS (RED MEAT) LTD,20638,1031.9,171.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.92,859.0,,,,,-0.9199999999999591,1,1,0,0,0,0,0,0
1,2016-17,A F BLAKEMORE & SON LTD,6439197,321959.85,53659.98,14586.64,0.0,0.0,0.0,0.0,14586.64,0.0,253713.24,253713.24,,,,,0.0,0,0,0,0,0,0,0,1
2,2016-17,AGE UK TRADING CIC,818423,40921.15,6792.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34128.24,34128.0,,,,,-0.23999999999796273,1,0,0,0,0,0,0,0
3,2016-17,ALDI STORES LTD,67203919,3360195.95,560032.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800163.29,2800163.0,,3750662.0,,,-0.2900000000372529,1,1,1,0,0,1,1,0
4,2016-17,"ANIMAL, A DIVISION OF H YOUNG (OPERATIONS) LIMITED",30546,1527.3,254.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.75,1272.75,,,,,0.0,0,0,0,0,0,0,0,1
5,2016-17,ARCHANT COMMUNITY MEDIA LIMITED,165301,8265.05,1377.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6887.55,8265.0,,,,,1377.4499999999998,0,0,0,0,0,0,1,0
6,2016-17,ARGOS,8382380,419119.0,69853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349266.0,0.0,,,,,-349266.0,0,0,0,0,0,0,0,1
7,2016-17,ASDA STORES LIMITED,165766608,8288330.0,1381388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6906942.0,6906942.0,,,,,0.0,1,0,1,0,0,0,0,0
8,2016-17,ASTON VILLA FOOTBALL CLUB,20139,1006.95,167.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.14,839.0,,,,,-0.13999999999998636,1,0,0,0,0,0,0,0
9,2016-17,B&Q,1266294,63314.7,10552.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52761.25,104078.0,,815267.0,,,51316.75,1,0,0,0,0,0,0,0
10,2016-17,BAGS ETC LTD,36637,1831.85,305.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.54,0.0,,,,,-1526.54,0,0,0,0,0,0,0,1
11,2016-17,BARGAIN BOOZE,349795,17489.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17489.75,,,,,,0,0,1,0,0,0,0,0
